Item,Quantity,Manufacturer,Manufacturer Part Number,Synopsis,Reference(s),Package
1,3,Murata Electronics,GRM21BD72A225KE01L,CAP CER 2.2UF 100V X7T 0805,C301 C414 C415,0805
2,1,TDK Corporation,C2012X5R1A476M125AC,CAP CER 47UF 10V X5R,C302,0805
3,5,Murata Electronics,GRT155R61E105KE01D,CAP CER 1UF 25V X5R,C303 C304 C305 C1301 C1302,0402
4,16,Murata Electronics,GRM155R62A104KE14D,CAP CER 0.1UF 100V X5R,C401 C403 C404 C408 C413 C417 C1304 C1305 C1306 C1307 C1308 C1309 C1310 C1312 C1313 C1314,0402
5,1,Murata Electronics,GCM188R72A223KA37D,CAP CER 0.022UF 100V X7R,C402,0603
6,1,Murata Electronics,GRT155R6YA474KE01D,CAP CER 0.47UF 35V X5R,C405,0402
7,2,TDK Corporation,C1005X5R1V225K050BC,CAP CER 2.2UF 35V X5R,C406 C407,0402
8,4,Murata Electronics,GRT155C81E224KE01D,CAP CER 0.22UF 25V X6S,C409 C410 C411 C412,0402
9,1,Panasonic Electronic Components,EEH-ZS1H221V,CAP ALUM HYB 220UF 20% 50V SMD,C416,SMD_D10xL16.8mm
10,2,Samsung Electro-Mechanics,CL05A105KL5NRNC,CAP CER 1UF 35V X5R,C1303 C1311,0402
11,2,KEMET,C0402C150J3GACAUTO,CAP CER 15PF 25V C0G/NP0,C1315 C1316,0402
12,1,Kingbright,APHHS1005SURCK,LED RED CLEAR CHIP SMD,D301,0402
13,1,Kingbright,APHHS1005CGCK,LED GREEN CLEAR CHIP SMD,D302,0402
14,1,Kingbright,APHHS1005SYCK,LED YELLOW CLEAR CHIP SMD,D303,0402
15,1,Littelfuse Inc.,SMF48A,TVS SOD123FL 48V 200W UNIDIR,D401,SOD-123FL
16,2,onsemi,NSR20F40NXT5G,DIODE SCHOTTKY 40V 2A 2DSN,D1301 D1302,0603
17,1,Molex,0874380243,CONN HEADER SMD R/A 2POS 1.5MM,J301,SMD_P=1.5mm
18,1,Molex,5055680281,CONN HEADER SMD 2POS 1.25MM,J302,SMD
19,1,Molex,0874380443,CONN HEADER SMD R/A 4POS 1.5MM,J401,SMD
20,1,Molex,5015680207,CONN HEADER SMD R/A 2POS 1MM,J402,SMD_P=1mm
21,1,Amphenol ICC (FCI),10152803-00011LF,USB 3.2 TYPE C GEN 2 RECEPTACLE,J1301,USB-C-SMD
22,1,Eaton - Electronics Division,SD25-151-R,FIXED IND 150UH 553MA 872.3 MOHM,L301,SMD-4P_5.2x5.2mm
23,1,Texas Instruments,CSD17483F4,MOSFET N-CH 30V 1.5A 3PICOSTAR,Q301,PicoStar-3
24,1,TE Connectivity Passive Product,RA73F2A2K32BTD,RA73F 2A 2K32 0.1% 5K RL,R301,0805
25,1,Panasonic Electronic Components,ERJ-2RKF64R9X,RES SMD 64.9 OHM 1% 1/10W,R302,0402
26,1,Vishay Dale,CRCW0402249RFKED,RES SMD 249 OHM 1% 1/16W,R303,0402
27,1,Panasonic Electronic Components,ERJ-2GEJ2R2X,RES SMD 2.2 OHM 5% 1/10W,R401,0402
28,4,Stackpole Electronics Inc,RMCF0402FT47R0,RES 47 OHM 1% 1/16W,R402 R403 R406 R407,0402
29,2,Delta Electronics/Cyntec,VSRP1206S1-R150F,RES 0.15 OHM 1% 1W,R404 R405,1206
30,8,Panasonic Electronic Components,ERJ-2RKF15R0X,RES SMD 15 OHM 1% 1/10W,R501 R601 R701 R801 R901 R1001 R1101 R1201,0402
31,1,YAGEO,RC0402JR-0710KL,RES SMD 10K OHM 5% 1/10W,R1301,0402
32,2,Panasonic Electronic Components,ERJ-2GEJ512X,RES SMD 5.1K OHM 5% 1/10W,R1302 R1303,0402
33,2,Panasonic Electronic Components,ERJ-2GEJ270X,RES SMD 27 OHM 5% 1/10W,R1304 R1305,0402
34,2,YAGEO,RC0402FR-071KL,RES SMD 1K OHM 1% 1/16W,R1306 R1307,0402
35,1,Würth Elektronik,436333045822,SWITCH TACTILE SPST-NO 0.05A 12V,SW1301,-
36,1,Texas Instruments,LM5166XDRCR,IC REG BUCK 5V 500MA,U301,VSON-10-EP(3x3)
37,2,Texas Instruments,TPS73733QDRBRQ1,IC REG LINEAR 3.3V 1A,U302 U1301,VSON-8-EP(3x3)
38,1,Analog Devices Inc.,TMC5160A-WA,IC MTR DRVR BIPOLAR 8-60V,U401,QFN-56-EP(8x8)
39,1,Analog Devices Inc./Maxim Integrated,MAX6816EUS+T,IC SWITCH DEBOUNCER,U402,SOT-143
40,8,Nexperia USA Inc.,BUK7D36-60EX,MOSFET N-CH 60V 5.5A/14A,U501 U601 U701 U801 U901 U1001 U1101 U1201,DFN2020MD-6
41,1,Raspberry Pi,RP2040,IC MCU 32BIT EXT MEM,U1302,QFN-56(7x7)
42,1,Winbond Electronics,W25Q128JVPIQ,IC FLASH 128MBIT SPI/QUAD,U1303,WSON-8-EP(5x6)
43,1,ECS Inc.,ECS-2520S33-160-FN-TR,XTAL OSC XO 16.0000MHZ HCMOS SMD,X401,SMD2520-4P
44,1,Abracon LLC,ABM8-272-T3,CRYSTAL 12.0000MHZ 10PF SMD,Y1301,SMD3225-4P
