Comment,Designator,Footprint,LCSC
Murata Electronics GRT21BD72A225KE13K 2.2 µF ±10% 100V Ceramic Capacitor X7T 0805 (2012 Metric),C301 C414 C415,0805,
TDK Corporation C2012X5R1A476M125AC 47 µF ±20% 10V Ceramic Capacitor X5R 0805 (2012 Metric),C302,0805,C2182652
Murata Electronics GRT155R61E105KE01D 1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric),C303 C304 C305 C1301 C1302,0402,C711085
Murata Electronics GRM155R62A104KE14D 0.1 µF ±10% 100V Ceramic Capacitor X5R 0402 (1005 Metric),C401 C403 C404 C408 C413 C417 C1304 C1305 C1306 C1307 C1308 C1309 C1310 C1312 C1313 C1314,0402,C162178
Murata Electronics GCM188R72A223KA37D 0.022 µF ±10% 100V Ceramic Capacitor X7R 0603 (1608 Metric),C402,0603,C161234
Murata Electronics GRT155R6YA474KE01D 0.47 µF ±10% 35V Ceramic Capacitor X5R 0402 (1005 Metric),C405,0402,C711580
TDK Corporation C1005X5R1V225K050BC 2.2 µF ±10% 35V Ceramic Capacitor X5R 0402 (1005 Metric),C406 C407,0402,C2167643
Murata Electronics GRT155C81E224KE01D 0.22 µF ±10% 25V Ceramic Capacitor X6S 0402 (1005 Metric),C409 C410 C411 C412,0402,C126623
"Panasonic Electronic Components EEH-ZS1H221V 220 µF 50 V Aluminum - Polymer Capacitors Radial, Can - SMD 13mOhm 4000 Hrs @ 125°C",C416,,
Samsung Electro-Mechanics CL05A105KL5NRNC 1 µF ±10% 35V Ceramic Capacitor X5R 0402 (1005 Metric),C1303 C1311,0402,C307413
"KEMET C0402C150J3GACAUTO 15 pF ±5% 25V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",C1315 C1316,0402,C3888936
QT Brightek (QTB) QBLP595-R Red 620nm LED Indication - Discrete 2V 0402 (1005 Metric),D301,0402,C9900058196
QT Brightek (QTB) QBLP595-AG1 Green 570nm LED Indication - Discrete 2V 0402 (1005 Metric),D302,0402,
QT Brightek (QTB) QBLP595-Y Yellow 590nm LED Indication - Discrete 2V 0402 (1005 Metric),D303,0402,C5829766
Littelfuse Inc. SMF48A 77.4V Clamp 2.6A Ipp Tvs Diode Surface Mount SOD-123F,D401, SOD-123F,C1509577
"onsemi NSR20F40NXT5G Diode 40 V 2A Surface Mount 2-DSN (1.6x0.8), (0603)",D1301 D1302,,C153761
"Molex 0874380243 Connector Header Surface Mount, Right Angle 2 position 0.059"" (1.50mm)",J301,,C240853
