Ref,Val,Package,PosX,PosY,Rot,Side
"C301","2.2uF_100V","C_0805_2012Metric",-5.000000,-13.500000,-90.000000,bottom
"C302","47uF_10V","C_0805_2012Metric",-5.000000,-17.500000,90.000000,bottom
"C413","0.1uF_100V","C_0402_1005Metric",-9.000000,0.000000,-90.000000,bottom
"C417","0.1uF_100V","C_0402_1005Metric",11.000000,-11.500000,-90.000000,bottom
"C1301","1uF_25V","C_0402_1005Metric",-10.500000,13.500000,-90.000000,bottom
"C1302","1uF_25V","C_0402_1005Metric",-8.000000,11.000000,180.000000,bottom
"C1303","1uF_35V","C_0402_1005Metric",-4.000000,6.000000,90.000000,bottom
"C1304","0.1uF_100V","C_0402_1005Metric",0.000000,7.000000,90.000000,bottom
"C1305","0.1uF_100V","C_0402_1005Metric",5.500000,3.000000,0.000000,bottom
"C1306","0.1uF_100V","C_0402_1005Metric",-5.500000,-1.000000,180.000000,bottom
"C1307","0.1uF_100V","C_0402_1005Metric",5.500000,-1.000000,0.000000,bottom
"C1308","0.1uF_100V","C_0402_1005Metric",0.000000,-6.500000,-90.000000,bottom
"C1309","0.1uF_100V","C_0402_1005Metric",-5.500000,4.000000,180.000000,bottom
"C1310","0.1uF_100V","C_0402_1005Metric",-5.500000,5.500000,180.000000,bottom
"C1311","1uF_35V","C_0402_1005Metric",-3.000000,6.000000,90.000000,bottom
"C1312","0.1uF_100V","C_0402_1005Metric",1.000000,7.000000,90.000000,bottom
"C1313","0.1uF_100V","C_0402_1005Metric",-1.000000,-6.500000,-90.000000,bottom
"C1314","0.1uF_100V","C_0402_1005Metric",7.000000,12.500000,90.000000,bottom
"C1315","15pF_25V","C_0402_1005Metric",3.500000,-7.000000,0.000000,bottom
"C1316","15pF_25V","C_0402_1005Metric",1.500000,-7.000000,180.000000,bottom
"D401","D_Zener_48V_2.6A","SMFSeries_LTF",-11.000000,0.000000,-90.000000,bottom
