Designator,Mid X,Mid Y,Rotation,Layer
C1301,-10.5,13.5,270.0,bottom
C1302,-8.0,11.0,0.0,bottom
C1303,-4.0,6.0,90.0,bottom
C1304,0.0,7.0,90.0,bottom
C1305,5.5,3.0,180.0,bottom
C1306,-5.5,-1.0,0.0,bottom
C1307,5.5,-1.0,180.0,bottom
C1308,0.0,-6.5,270.0,bottom
C1309,-5.5,4.0,0.0,bottom
C1310,-5.5,5.5,0.0,bottom
C1311,-3.0,6.0,90.0,bottom
C1312,1.0,7.0,90.0,bottom
C1313,-1.0,-6.5,270.0,bottom
C1314,7.0,12.5,90.0,bottom
C1315,3.5,-7.0,180.0,bottom
C1316,1.5,-7.0,0.0,bottom
C301,-5.0,-13.5,270.0,bottom
C302,-5.0,-17.5,90.0,bottom
C303,-17.5,-8.0,270.0,top
C304,-17.5,-10.0,90.0,top
C305,-17.0,8.0,90.0,top
C401,-6.5,8.5,180.0,top
C402,0.0,-7.0,0.0,top
C403,2.5,-7.0,0.0,top
C404,-5.5,-2.5,270.0,top
C405,-2.5,-6.0,180.0,top
C406,-1.0,7.0,90.0,top
C407,3.0,7.0,90.0,top
C408,2.0,7.0,90.0,top
C409,6.064852,-1.5,270.0,top
C410,4.5,-7.0,0.0,top
C411,4.0,7.0,90.0,top
C412,6.064852,1.5,90.0,top
C413,-9.0,0.0,270.0,bottom
C414,16.5,-6.5,180.0,top
C415,10.5,-6.5,180.0,top
C416,-12.5,0.0,270.0,top
C417,11.0,-11.5,270.0,bottom
D1301,-9.0,17.0,90.0,bottom
D1302,-7.0,17.0,90.0,bottom
D301,-19.0,0.0,90.0,top
D302,-19.0,-8.0,270.0,top
D303,-19.0,10.0,270.0,top
D401,-11.0,0.0,270.0,bottom
J1301,0.0,18.0,180.0,bottom
J301,-17.0,0.0,90.0,bottom
J302,-12.5,9.5,180.0,top
J401,17.0,0.0,270.0,bottom
J402,8.5,-17.0,0.0,bottom
L301,-9.0,-15.5,270.0,bottom
M301,7.5,0.0,0.0,top
Q301,-17.0,10.0,180.0,top
R1001,11.0,6.0,270.0,top
R1101,9.0,6.0,270.0,top
R1201,9.0,0.0,270.0,top
R1301,10.0,12.5,90.0,bottom
R1302,-3.5,10.5,0.0,bottom
R1303,6.0,14.5,270.0,bottom
R1304,-1.0,6.0,270.0,bottom
R1305,-2.0,6.0,270.0,bottom
R1306,11.0,12.5,90.0,bottom
R1307,1.0,-5.5,270.0,bottom
R301,-19.0,3.0,270.0,top
R302,-19.0,-10.0,90.0,top
R303,-19.0,8.0,90.0,top
R401,0.0,7.0,270.0,top
R402,-3.0,9.0,90.0,top
R403,-4.0,9.0,90.0,top
R404,13.0,8.5,90.0,top
R405,7.0,8.5,90.0,top
R406,-2.0,9.0,90.0,top
R407,-5.0,9.0,90.0,top
R501,17.0,6.0,270.0,top
R601,17.0,0.0,270.0,top
R701,15.0,0.0,270.0,top
R801,15.0,6.0,270.0,top
R901,11.0,0.0,270.0,top
SW1301,8.5,18.0,180.0,bottom
U1001,12.0,3.0,270.0,top
U1101,9.0,3.0,270.0,top
U1201,9.0,-3.0,270.0,top
U1301,-8.0,13.5,90.0,bottom
U1302,0.0,0.0,90.0,bottom
U1303,8.5,8.5,0.0,bottom
U301,-1.5,-15.5,270.0,bottom
U302,-15.0,-9.0,90.0,top
U401,0.0,0.0,270.0,top
U402,8.5,-11.5,90.0,bottom
U501,18.0,3.0,270.0,top
U601,18.0,-3.0,270.0,top
U701,15.0,-3.0,270.0,top
U801,15.0,3.0,270.0,top
U901,12.0,-3.0,270.0,top
X401,-6.5,6.0,270.0,top
Y1301,2.5,-9.5,0.0,bottom
